Cleaned_Text,category,Sentiment,"Sentiment_Score",SentimentScore
wow loved this place,1,positive,"0.39999999999999997",1.0
crust is not good,0,negative,"-0.35",-1.0
not tasty and the texture was just nasty,0,negative,"-1.0",-1.0
stopped by during the late may bank holiday off rick steve recommendation and loved it,1,positive,"0.19999999999999998",1.0
the selection on the menu was great and so were the prices,1,positive,"0.8",1.0
now i am getting angry and i want my damn pho,0,negative,"-0.5",-0.99
honeslty it didnt taste that fresh,0,negative,"0.3",-0.9299999999999999
the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,0,neutral,"0.0",-0.019999999999999997
the fries were great too,1,positive,"0.8",1.0
a great touch,1,positive,"0.8",1.0
service was very prompt,1,positive,"0.2",1.0
would not go back,0,negative,"0.0",-0.95
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,0,negative,"0.0",-1.0
i tried the cape cod ravoli chickenwith cranberrymmmm,1,neutral,"0.0",0.0
i was disgusted because i was pretty sure that was human hair,0,negative,"-0.0625",-1.0
i was shocked because no signs indicate cash only,0,negative,"-0.35",-0.99
highly recommended,1,positive,"0.16",1.0
waitress was a little slow in service,0,negative,"-0.24375000000000002",-1.0
this place is not worth your time let alone vegas,0,negative,"-0.15",-0.99
did not like at all,0,negative,"0.0",-0.99
the burrittos blah,0,negative,"0.0",-0.49000000000000005
the food amazing,1,positive,"0.6000000000000001",1.0
service is also cute,1,positive,"0.5",1.0
i could care less the interior is just beautiful,1,positive,"0.3416666666666667",0.96
so they performed,1,neutral,"0.0",0.019999999999999997
thats rightthe red velvet cakeohhh this stuff is so good,1,positive,"0.35",1.0
they never brought a salad we asked for,0,negative,"0.0",-0.64
this hole in the wall has great mexican street tacos and friendly staff,1,positive,"0.39166666666666666",1.0
took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,0,negative,"0.19999999999999998",-0.75
the worst was the salmon sashimi,0,negative,"-1.0",-1.0
also there are combos like a burger fries and beer for which is a decent deal,1,positive,"0.16666666666666666",0.92
this was like the final blow,0,neutral,"0.0",-0.1
i found this place by accident and i could not be happier,1,negative,"0.0",-0.72
seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,0,positive,"0.4694444444444444",0.95
overall i like this place a lot,1,positive,"0.0",1.0
the only redeeming quality of the restaurant was that it was very inexpensive,1,positive,"0.2333333333333333",0.8400000000000001
ample portions and good prices,1,positive,"0.7",1.0
poor service the waiter made me feel like i was stupid every time he came to the table,0,negative,"-0.6",-1.0
my first visit to hiro was a delight,1,positive,"0.25",0.99
service sucks,0,negative,"-0.3",-1.0
the shrimp tender and moist,1,neutral,"0.0",0.03
there is not a deal good enough that would drag me into that establishment again,0,negative,"0.19999999999999998",-1.0
hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,0,negative,"-0.10198412698412701",-0.99
on a positive note our server was very attentive and provided great service,1,positive,"0.5157575757575757",1.0
frozen pucks of disgust with some of the worst people behind the register,0,negative,"-0.7",-1.0
the only thing i did like was the prime rib and dessert section,1,positive,"0.0",0.42000000000000004
its too bad the food is so damn generic,0,negative,"-0.3499999999999999",-1.0
the burger is good beef cooked just right,1,positive,"0.4928571428571428",1.0
if you want a sandwich just go to any firehouse,1,neutral,"0.0",0.04
my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,1,positive,"0.21666666666666667",1.0
we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,1,positive,"0.19999999999999998",1.0
he came running after us when he realized my husband had left his sunglasses on the table,1,neutral,"0.0",-0.14
their chow mein is so good,1,positive,"0.7",1.0
they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,0,negative,"-0.2518518518518518",-1.0
the portion was huge,1,neutral,"0.39999999999999997",-0.32999999999999996
loved itfriendly servers great food wonderful and imaginative menu,1,positive,"0.775",1.0
the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,0,negative,"0.07500000000000001",-0.79
not much seafood and like strings of pasta at the bottom,0,negative,"-0.1",-0.69
the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,1,positive,"0.6428571428571428",1.0
the ripped banana was not only ripped but petrified and tasteless,0,negative,"-0.3",-1.0
at least think to refill my water before i struggle to wave you over for minutes,0,negative,"-0.3",-0.94
this place receives stars for their appetizers,1,positive,"0.0",0.6900000000000001
the cocktails are all handmade and delicious,1,positive,"1.0",1.0
wed definitely go back here again,1,neutral,"0.0",0.4
we are so glad we found this place,1,positive,"0.5",1.0
great food and service huge portions and they give a military discount,1,positive,"0.36666666666666664",1.0
always a great time at dos gringos,1,positive,"0.8",1.0
updatewent back for a second time and it was still just as amazing,1,positive,"0.20000000000000004",1.0
we got the food and apparently they have never heard of salt and the batter on the fish was chewy,0,negative,"0.05",-0.99
a great way to finish a great,1,positive,"0.8",1.0
the deal included tastings and drinks and jeff went above and beyond what we expected,1,positive,"-0.05",0.9199999999999999
really really good rice all the time,1,positive,"0.7",1.0
the service was meh,0,negative,"0.0",-0.5599999999999999
it took over min to get their milkshake which was nothing more than chocolate milk,0,negative,"0.5",-0.7
i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense,0,negative,"-0.3",-0.87
the scallop dish is quite appalling for value as well,0,negative,"-0.35",-1.0
times very bad customer service,0,negative,"-0.9099999999999998",-1.0
the sweet potato fries were very good and seasoned well,1,positive,"0.5033333333333333",1.0
today is the second time ive been to their lunch buffet and it was pretty good,1,positive,"0.31666666666666665",1.0
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,0,negative,"0.7",-0.43999999999999995
coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,0,negative,"-0.125",-0.5
walked in and the place smelled like an old grease trap and only others there eating,0,negative,"0.05",-0.99
the turkey and roast beef were bland,0,negative,"-0.16666666666666666",-0.91
this place has it,1,neutral,"0.0",0.33999999999999997
the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,0,negative,"0.1",-0.99
i love the pho and the spring rolls oh so yummy you have to try,1,positive,"0.5",1.0
the poor batter to meat ratio made the chicken tenders very unsatisfying,0,negative,"-0.26666666666666666",-1.0
all i have to say is the food was amazing,1,positive,"0.6000000000000001",1.0
omelets are to die for,1,negative,"0.0",-0.98
everything was fresh and delicious,1,positive,"0.65",1.0
in summary this was a largely disappointing dining experience,0,negative,"-0.6",-1.0
its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,1,positive,"-0.25",0.35
never been to hard rock casino before will never ever step forward in it again,0,negative,"-0.2916666666666667",-0.66
best breakfast buffet,1,positive,"1.0",1.0
say bye bye to your tip lady,0,neutral,"0.0",0.12000000000000001
well never go again,0,negative,"0.0",-0.6799999999999999
will be back again,1,neutral,"0.0",0.049999999999999996
food arrived quickly,1,positive,"0.3333333333333333",1.0
it was not good,0,negative,"-0.35",-1.0
on the up side their cafe serves really good food,1,positive,"0.7",1.0
our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go,1,positive,"0.2",1.0
the only good thing was our waiter he was very helpful and kept the bloddy marys coming,1,positive,"0.3",0.97
best buffet in town for the price you cannot beat it,1,positive,"1.0",1.0
i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious,1,positive,"0.85",1.0
this is one of the better buffets that i have been to,1,positive,"0.5",1.0
so we went to tigerlilly and had a fantastic afternoon,1,positive,"0.4",1.0
the food was delicious our bartender was attentive and personable and we got a great deal,1,positive,"0.7333333333333334",1.0
the ambience is wonderful and there is music playing,1,positive,"1.0",1.0
will go back next trip out,1,neutral,"0.0",0.1
sooooo good,1,positive,"0.7",1.0
